trade_date,symbol,metric,value
2010-01-04,510880,dividend_yield,0.01692473892689953
2010-01-05,510880,dividend_yield,0.01670814077497334
2010-01-06,510880,dividend_yield,0.01673789173789174
2010-01-07,510880,dividend_yield,0.017165814463111762
2010-01-08,510880,dividend_yield,0.01715954728002921
2010-01-11,510880,dividend_yield,0.017147026632615834
2010-01-12,510880,dividend_yield,0.01689432063263839
2010-01-13,510880,dividend_yield,0.017576664173522813
2010-01-14,510880,dividend_yield,0.01734317343173432
2010-01-15,510880,dividend_yield,0.017292126563649743
2010-01-18,510880,dividend_yield,0.017235056839017236
2010-01-19,510880,dividend_yield,0.017203513909224012
2010-01-20,510880,dividend_yield,0.017735849056603775
2010-01-21,510880,dividend_yield,0.01770244821092279
2010-01-22,510880,dividend_yield,0.017709118311981915
2010-01-25,510880,dividend_yield,0.018021472392638037
2010-01-26,510880,dividend_yield,0.01848937844217152
2010-01-27,510880,dividend_yield,0.018747506980454725
2010-01-28,510880,dividend_yield,0.01886035313001605
2010-01-29,510880,dividend_yield,0.018875502008032126
2010-02-01,510880,dividend_yield,0.019191506737443857
2010-02-02,510880,dividend_yield,0.019207192480588477
2010-02-03,510880,dividend_yield,0.018680445151033388
2010-02-04,510880,dividend_yield,0.018769968051118212
2010-02-05,510880,dividend_yield,0.019191506737443857
2010-02-08,510880,dividend_yield,0.019175846593227255
2010-02-09,510880,dividend_yield,0.019074675324675324
2010-02-10,510880,dividend_yield,0.018867924528301886
2010-02-11,510880,dividend_yield,0.0188527878058564
2010-02-12,510880,dividend_yield,0.018658197697499008
2010-02-22,510880,dividend_yield,0.018717642373556352
2010-02-23,510880,dividend_yield,0.018883085576536764
2010-02-24,510880,dividend_yield,0.01863600317208565
2010-02-25,510880,dividend_yield,0.018395303326810174
2010-02-26,510880,dividend_yield,0.018533123028391166
2010-03-01,510880,dividend_yield,0.018280824581874754
2010-03-02,510880,dividend_yield,0.01838810641627543
2010-03-03,510880,dividend_yield,0.018280824581874754
2010-03-04,510880,dividend_yield,0.01870274572224433
2010-03-05,510880,dividend_yield,0.01865079365079365
2010-03-08,510880,dividend_yield,0.018467583497053047
2010-03-09,510880,dividend_yield,0.018373729476153247
2010-03-10,510880,dividend_yield,0.018467583497053047
2010-03-11,510880,dividend_yield,0.01841692789968652
2010-03-12,510880,dividend_yield,0.01870274572224433
2010-03-15,510880,dividend_yield,0.018913480885311872
2010-03-16,510880,dividend_yield,0.01889827100924809
2010-03-17,510880,dividend_yield,0.01857707509881423
2010-03-18,510880,dividend_yield,0.018606492478226447
2010-03-19,510880,dividend_yield,0.018511224891689642
2010-03-22,510880,dividend_yield,0.018474842767295597
2010-03-23,510880,dividend_yield,0.018606492478226447
2010-03-24,510880,dividend_yield,0.009094503756425464
2010-03-25,510880,dividend_yield,0.009192645883293367
2010-03-26,510880,dividend_yield,0.00904443570585922
2010-03-29,510880,dividend_yield,0.008835958509412215
2010-03-30,510880,dividend_yield,0.008832565284178187
2010-03-31,510880,dividend_yield,0.008907823392718823
2010-04-01,510880,dividend_yield,0.008805513016845328
2010-04-02,510880,dividend_yield,0.008761904761904762
2010-04-06,510880,dividend_yield,0.008735282947208507
2010-04-07,510880,dividend_yield,0.008788689338937715
2010-04-08,510880,dividend_yield,0.008904374758033294
2010-04-09,510880,dividend_yield,0.008842752787389465
2010-04-12,510880,dividend_yield,0.008952899961074349
2010-04-13,510880,dividend_yield,0.008805513016845328
2010-04-14,510880,dividend_yield,0.008805513016845328
2010-04-15,510880,dividend_yield,0.008805513016845328
2010-04-16,510880,dividend_yield,0.00892510671323244
2010-04-19,510880,dividend_yield,0.009376273950264982
2010-04-20,510880,dividend_yield,0.009403107113654946
2010-04-21,510880,dividend_yield,0.009251810136765888
2010-04-22,510880,dividend_yield,0.009461127108185932
2010-04-23,510880,dividend_yield,0.009508061182306737
2010-04-26,510880,dividend_yield,0.009595327492699209
2010-04-27,510880,dividend_yield,0.009791400595998296
2010-04-28,510880,dividend_yield,0.00977891156462585
2010-04-29,510880,dividend_yield,0.009837467921300256
2010-04-30,510880,dividend_yield,0.00975816716164616
2010-05-04,510880,dividend_yield,0.009900990099009901
2010-05-05,510880,dividend_yield,0.009841677364142062
2010-05-06,510880,dividend_yield,0.010304659498207884
2010-05-07,510880,dividend_yield,0.010449795547478418
2010-05-10,510880,dividend_yield,0.010393131495707184
2010-05-11,510880,dividend_yield,0.010526315789473684
2010-05-12,510880,dividend_yield,0.010383747178329572
2010-05-13,510880,dividend_yield,0.01018149623727313
2010-05-14,510880,dividend_yield,0.010281627179257935
2010-05-17,510880,dividend_yield,0.010737628384687208
2010-05-18,510880,dividend_yield,0.010526315789473684
2010-05-19,510880,dividend_yield,0.010653080129689673
2010-05-20,510880,dividend_yield,0.010707635009310986
2010-05-21,510880,dividend_yield,0.010594196222938739
2010-05-24,510880,dividend_yield,0.010244988864142539
2010-05-25,510880,dividend_yield,0.010483135824977211
2010-05-26,510880,dividend_yield,0.01053113553113553
2010-05-27,510880,dividend_yield,0.010351035103510351
2010-05-28,510880,dividend_yield,0.010374379792512404
2010-05-31,510880,dividend_yield,0.010638297872340425
2010-06-01,510880,dividend_yield,0.010747663551401868
2010-06-02,510880,dividend_yield,0.010757717492984098
2010-06-03,510880,dividend_yield,0.010762751520823585
2010-06-04,510880,dividend_yield,0.010767790262172283
2010-06-07,510880,dividend_yield,0.011052378664103796
2010-06-08,510880,dividend_yield,0.01102588686481304
2010-06-09,510880,dividend_yield,0.010722610722610722
2010-06-10,510880,dividend_yield,0.010823529411764706
2010-06-11,510880,dividend_yield,0.010752688172043012
2010-06-17,510880,dividend_yield,0.010838831291234684
2010-06-18,510880,dividend_yield,0.010952380952380951
2010-06-21,510880,dividend_yield,0.010712622263623663
2010-06-22,510880,dividend_yield,0.010732617825478302
2010-06-23,510880,dividend_yield,0.010833725859632595
2010-06-24,510880,dividend_yield,0.010793054903801034
2010-06-25,510880,dividend_yield,0.01086443079829948
2010-06-28,510880,dividend_yield,0.010900473933649289
2010-06-29,510880,dividend_yield,0.011380504700643246
2010-06-30,510880,dividend_yield,0.011528822055137843
2010-07-01,510880,dividend_yield,0.011675126903553299
2010-07-02,510880,dividend_yield,0.011622031328954016
2010-07-05,510880,dividend_yield,0.011728709841917389
2010-07-06,510880,dividend_yield,0.011465603190428716
2010-07-07,510880,dividend_yield,0.011465603190428716
2010-07-08,510880,dividend_yield,0.011465603190428716
2010-07-09,510880,dividend_yield,0.01116504854368932
2010-07-12,510880,dividend_yield,0.01102588686481304
2010-07-13,510880,dividend_yield,0.011197663096397274
2010-07-14,510880,dividend_yield,0.011116481391976801
2010-07-15,510880,dividend_yield,0.021371769383697812
2010-07-16,510880,dividend_yield,0.021245059288537548
2010-07-19,510880,dividend_yield,0.020782986950217495
2010-07-20,510880,dividend_yield,0.020408163265306117
2010-07-21,510880,dividend_yield,0.02038880986249407
2010-07-22,510880,dividend_yield,0.020206766917293232
2010-07-23,510880,dividend_yield,0.0201028517999065
2010-07-26,510880,dividend_yield,0.02008407286314806
2010-07-27,510880,dividend_yield,0.02015939990623535
2010-07-28,510880,dividend_yield,0.019688644688644685
2010-07-29,510880,dividend_yield,0.019545454545454543
2010-07-30,510880,dividend_yield,0.019661636945587563
2010-08-02,510880,dividend_yield,0.019325842696629212
2010-08-03,510880,dividend_yield,0.019634703196347032
2010-08-04,510880,dividend_yield,0.019536574284416172
2010-08-05,510880,dividend_yield,0.01987060998151571
2010-08-06,510880,dividend_yield,0.019545454545454543
2010-08-09,510880,dividend_yield,0.01952770208900999
2010-08-10,510880,dividend_yield,0.02005597014925373
2010-08-11,510880,dividend_yield,0.02000930665425779
2010-08-12,510880,dividend_yield,0.020254357041921803
2010-08-13,510880,dividend_yield,0.02000930665425779
2010-08-16,510880,dividend_yield,0.019572143832498858
2010-08-17,510880,dividend_yield,0.019545454545454543
2010-08-18,510880,dividend_yield,0.019625741670470105
2010-08-19,510880,dividend_yield,0.01952770208900999
2010-08-20,510880,dividend_yield,0.0197610294117647
2010-08-23,510880,dividend_yield,0.019953596287703018
2010-08-24,510880,dividend_yield,0.019879796578825704
2010-08-25,510880,dividend_yield,0.02035984848484848
2010-08-26,510880,dividend_yield,0.020330969267139475
2010-08-27,510880,dividend_yield,0.020244821092278716
2010-08-30,510880,dividend_yield,0.019953596287703018
2010-08-31,510880,dividend_yield,0.020121665886757133
2010-09-01,510880,dividend_yield,0.02014995313964386
2010-09-02,510880,dividend_yield,0.0199443413729128
2010-09-03,510880,dividend_yield,0.02005597014925373
2010-09-06,510880,dividend_yield,0.019598906107566087
2010-09-07,510880,dividend_yield,0.019625741670470105
2010-09-08,510880,dividend_yield,0.019697663765460376
2010-09-09,510880,dividend_yield,0.019962859795728875
2010-09-10,510880,dividend_yield,0.020027945971122497
2010-09-13,510880,dividend_yield,0.01987060998151571
2010-09-14,510880,dividend_yield,0.019925857275254866
2010-09-15,510880,dividend_yield,0.02015939990623535
2010-09-16,510880,dividend_yield,0.020653218059558116
2010-09-17,510880,dividend_yield,0.020692974013474495
2010-09-20,510880,dividend_yield,0.020663142719846227
2010-09-21,510880,dividend_yield,0.020653218059558116
2010-09-27,510880,dividend_yield,0.020476190476190474
2010-09-28,510880,dividend_yield,0.020683020683020678
2010-09-29,510880,dividend_yield,0.02063339731285988
2010-09-30,510880,dividend_yield,0.02027345591702027
2010-10-08,510880,dividend_yield,0.019670631290027447
2010-10-11,510880,dividend_yield,0.01911111111111111
2010-10-12,510880,dividend_yield,0.018917729872415308
2010-10-13,510880,dividend_yield,0.018777292576419212
2010-10-14,510880,dividend_yield,0.018518518518518517
2010-10-15,510880,dividend_yield,0.017805383022774325
2010-10-18,510880,dividend_yield,0.01784232365145228
2010-10-19,510880,dividend_yield,0.017586912065439674
2010-10-20,510880,dividend_yield,0.017551020408163264
2010-10-21,510880,dividend_yield,0.01775392237819983
2010-10-22,510880,dividend_yield,0.017111853088480802
2010-10-25,510880,dividend_yield,0.016727866177070585
2010-10-26,510880,dividend_yield,0.01686548745372275
2010-10-27,510880,dividend_yield,0.01696317749275962
2010-10-28,510880,dividend_yield,0.01696317749275962
2010-10-29,510880,dividend_yield,0.017219655606887863
2010-11-01,510880,dividend_yield,0.016741527153940387
2010-11-02,510880,dividend_yield,0.01683087027914614
2010-11-03,510880,dividend_yield,0.01694915254237288
2010-11-04,510880,dividend_yield,0.016714227476559318
2010-11-05,510880,dividend_yield,0.016545601291364002
2010-11-08,510880,dividend_yield,0.01634768740031898
2010-11-09,510880,dividend_yield,0.016505636070853463
2010-11-10,510880,dividend_yield,0.01668701668701669
2010-11-11,510880,dividend_yield,0.01659247268312424
2010-11-12,510880,dividend_yield,0.01742456438589035
2010-11-15,510880,dividend_yield,0.017328825021132713
2010-11-16,510880,dividend_yield,0.018069634200088145
2010-11-17,510880,dividend_yield,0.018369175627240143
2010-11-18,510880,dividend_yield,0.01818988464951198
2010-11-19,510880,dividend_yield,0.01802990325417766
2010-11-22,510880,dividend_yield,0.018246550956831333
2010-11-23,510880,dividend_yield,0.01849345963013081
2010-11-24,510880,dividend_yield,0.018426966292134833
