trade_date,net_value,w_510300,w_518880,w_511260
2020-01-17,1.0,0.0,0.0,0.0
2020-01-20,1.0,0.0,0.0,0.0
2020-01-21,1.0,0.0,0.0,0.0
2020-01-22,1.0,0.0,0.0,0.0
2020-01-23,1.0,0.0,0.0,0.0
2020-02-03,1.0,0.0,0.0,0.0
2020-02-04,1.0,0.0,0.0,0.0
2020-02-05,1.0,0.0,0.0,0.0
2020-02-06,1.0,0.0,0.0,0.0
2020-02-07,1.0,0.0,0.0,0.0
2020-02-10,1.0,0.0,0.0,0.0
2020-02-11,1.0,0.0,0.0,0.0
2020-02-12,1.0,0.0,0.0,0.0
2020-02-13,1.0,0.0,0.0,0.0
2020-02-14,1.0,0.0,0.0,0.0
2020-02-17,1.0,0.0,0.0,0.0
2020-02-18,1.0,0.0,0.0,0.0
2020-02-19,1.0,0.0,0.0,0.0
2020-02-20,1.0,0.0,0.0,0.0
2020-02-21,1.0,0.0,0.0,0.0
2020-02-24,1.0,0.0,0.0,0.0
2020-02-25,1.0,0.0,0.0,0.0
2020-02-26,1.0,0.0,0.0,0.0
2020-02-27,1.0,0.0,0.0,0.0
2020-02-28,1.0,0.0,0.0,0.0
2020-03-02,1.0,0.0,0.0,0.0
2020-03-03,1.0,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,0.0
2020-03-09,1.0041197521751055,0.10210330568352004,0.18784424190703364,0.7100524524094461
2020-03-10,0.9982886004747072,0.1047635505181664,0.18651450732629896,0.7087219421555346
2020-03-11,0.9986508053712888,0.1031547873022774,0.1883051339365555,0.7085400787611671
2020-03-12,0.9963402262875923,0.10191359586201162,0.18667228846847364,0.7114141156695147
2020-03-13,0.9838383091267134,0.10180460400377478,0.18349042227073242,0.7147049737254928
2020-03-16,0.9755545567052424,0.09875717216629762,0.18039850853936878,0.7208443192943336
2020-03-17,0.9639827041394626,0.09914118979327595,0.1740615067968679,0.7267973034098562
2020-03-18,0.9665790425357459,0.09737311122139215,0.1773804931868228,0.7252463955917849
2020-03-19,0.9631295144031047,0.09687104886135164,0.17726648127941688,0.7258624698592314
2020-03-20,0.9658182787397747,0.09776494709001168,0.17858768344868378,0.7236473694613045
2020-03-23,0.9662833017308806,0.09485880730658389,0.17802160808411477,0.7271195846093014
2020-03-24,0.9790253166967617,0.09565692963886563,0.1854982037157092,0.7188448666454252
2020-03-25,0.984295677911333,0.09740442702992613,0.18754251277959363,0.7150530601904802
2020-03-26,0.9843319147881147,0.09685377910302027,0.18706428207161083,0.7160819388253689
2020-03-27,0.98695457633117,0.09699968265724102,0.18865640927381766,0.7143439080689413
