trade_date,net_value,w_518880,w_510300,w_159985,w_159981,w_511260
2020-01-17,1.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,1.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,1.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,1.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.9971716467307683,0.14903472359658596,0.08100827465540401,0.13530935500251615,0.07129542519433991,0.5633522215511539
2020-03-10,0.9941030704559363,0.14757449469367212,0.08289128953913519,0.13701557275605145,0.07176182043890811,0.5607568225722331
2020-03-11,0.993473782911543,0.14913974533789018,0.08169973057574349,0.1360995227618122,0.07188943526554091,0.5611715660590132
2020-03-12,0.9901044767889243,0.14800639583384248,0.08080398078234628,0.13598766606722937,0.07114480630914756,0.5640571510074344
2020-03-13,0.9818595412101894,0.14486442782325357,0.08037403547428698,0.13901403534107562,0.07149283455150027,0.5642546668098837
2020-03-16,0.9745164975934142,0.14228833565983576,0.07789417870352153,0.14006151491415036,0.07119396157564646,0.5685620091468458
2020-03-17,0.9649699398185531,0.13700366545934176,0.07803394702040749,0.1415946539016599,0.07130618798736915,0.5720615456312217
2020-03-18,0.9655066055981061,0.1399142580773319,0.07680600255673828,0.14122112524020725,0.06999846512382599,0.5720601490018966
2020-03-19,0.9598752917675636,0.14014270435810997,0.07658396930685152,0.14071513372280087,0.06870842257146789,0.5738497700407698
2020-03-20,0.9675297988040038,0.14046126175795484,0.0768932524280635,0.1437207986729915,0.06976772950809297,0.5691569576328972
2020-03-23,0.9730934074093986,0.13928253251393644,0.07421669231675397,0.15050476584362635,0.06710407381966996,0.5688919355060134
2020-03-24,0.9814668127801045,0.1457914322840726,0.07518110957732119,0.14719051714448755,0.0668642318302807,0.564972709163838
2020-03-25,0.987957305621309,0.14721807082696928,0.07646102008990638,0.1486725971531741,0.06634234188635431,0.561305970043596
2020-03-26,0.9836532701643045,0.1474906156687838,0.07636424950586958,0.14541641363717792,0.06613474922820348,0.5645939719599652
2020-03-27,0.9863665101117078,0.14873199443820143,0.0764721236719006,0.14674794980778363,0.06487706197577864,0.5631708701063357
2020-03-30,0.9843479807695399,0.14784040098599213,0.07599177040483258,0.1483501924135838,0.06335167961892119,0.5644659565766703
2020-03-31,0.9860280750957788,0.14771206952011381,0.07591841294055106,0.14766438496986678,0.06465099049714348,0.5640541420723247
2020-04-01,0.9788528655704103,0.14638822278499017,0.07655029369141304,0.14438472161926014,0.0637073252831564,0.5689694366211803
2020-04-02,0.9819181789699141,0.1465516897373918,0.0772506538881351,0.1433541925864676,0.0658359809506825,0.5670074828373229
2020-04-03,0.9807296876317172,0.14805453086914508,0.0768552251192679,0.14164129982353119,0.06574930993666,0.5676996342513958
2020-04-07,0.9898739746570717,0.15083098769961484,0.07769200827174871,0.1407641925902722,0.06596651040033276,0.5647463010380315
